County,State,Town Count,Neighborhood Count,Towns
Alexander,NC,2,5,Hiddenite; Taylorsville
Anson,NC,5,13,Lilesville; Morven; Peachland; Polkton; Wadesboro
Burke,NC,3,9,Glen Alpine; Morganton; Valdese
Cabarrus,NC,5,5,Concord; Harrisburg; Kannapolis; Midland; Mount Pleasant
Caldwell,NC,3,8,Granite Falls; Hudson; Lenoir
Catawba,NC,4,15,Conover; Hickory; Maiden; Newton
Chester,SC,2,1,Chester; Great Falls
Chesterfield,SC,3,7,Cheraw; Chesterfield; Pageland
Cleveland,NC,4,14,Boiling Springs; Kings Mountain; Lawndale; Shelby
Gaston,NC,7,3,Belmont; Cramerton; Gastonia; Lowell; McAdenville; Mount Holly; Ranlo
Iredell,NC,3,3,Mooresville; Statesville; Troutman
Lancaster,SC,2,3,Indian Land; Lancaster
Lincoln,NC,2,0,Denver; Lincolnton
McDowell,NC,2,7,Marion; Old Fort
Mecklenburg,NC,10,17,Ballantyne; Cornelius; Davidson; Huntersville; Matthews; Mint Hill; Northlake; Pineville; University City; Uptown
Rowan,NC,2,1,China Grove; Salisbury
Stanly,NC,2,1,Albemarle; Locust
Union,NC,7,7,Indian Trail; Marvin; Monroe; Stallings; Waxhaw; Weddington; Wesley Chapel
York,SC,6,6,Clover; Fort Mill; Lake Wylie; Rock Hill; Tega Cay; York
