County,State,Town,ZIP Codes,Neighborhood Count,Neighborhoods
Alexander,NC,Hiddenite,28636,2,Downtown Hiddenite; Hiddenite Gem District
Alexander,NC,Taylorsville,28681,3,Bethlehem Area; Downtown Taylorsville; Taylorsville Historic District
Anson,NC,Lilesville,28091,2,Downtown Lilesville; Pee Dee River Area
Anson,NC,Morven,28119,2,Downtown Morven; Morven Historic Area
Anson,NC,Peachland,28133,2,Downtown Peachland; Peachland Historic District
Anson,NC,Polkton,28135,3,Brown Creek Area; Downtown Polkton; Polkton Historic Area
Anson,NC,Wadesboro,28170,4,Ansonville Road Area; Downtown Wadesboro; Morven Road Corridor; Wadesboro Historic District
Burke,NC,Glen Alpine,28628,2,Downtown Glen Alpine; Lake James Gateway Area
Burke,NC,Morganton,28655,4,Catawba Meadows; Downtown Morganton; Drexel Area; Historic Morganton District
Burke,NC,Valdese,28690,3,Downtown Valdese; Valdese Lakeside Area; Waldensian Historic District
Cabarrus,NC,Concord,28025; 28027,3,Afton Village; Downtown Concord; Weddington Trace
Cabarrus,NC,Harrisburg,28075,1,Rocky River Crossing
Cabarrus,NC,Kannapolis,28081; 28083,1,Downtown Kannapolis
Cabarrus,NC,Midland,28107,0,
Cabarrus,NC,Mount Pleasant,28124,0,
Caldwell,NC,Granite Falls,28630,2,Downtown Granite Falls; River Bend Park Area
Caldwell,NC,Hudson,28638,2,Downtown Hudson; Gunpowder Creek Area
Caldwell,NC,Lenoir,28645,4,Downtown Lenoir; Gamewell; Lower Creek; Whitnel
Catawba,NC,Conover,28613,3,Downtown Conover; Northwest Conover; Rock Barn Area
Catawba,NC,Hickory,28601; 28602,6,Downtown Hickory; Highland; Kenworth; Mountain View; Oakwood Historic District; Viewmont
Catawba,NC,Maiden,28650,3,Buffalo Shoals Area; Downtown Maiden; Maiden Historic District
Catawba,NC,Newton,28658,3,Downtown Newton; Newton Historic District; Startown Road Area
Chester,SC,Chester,29706,1,Downtown Chester
Chester,SC,Great Falls,29055,0,
Chesterfield,SC,Cheraw,29520,3,Cheraw Historic District; Downtown Cheraw; Riverside Park Area
Chesterfield,SC,Chesterfield,29709,2,Chesterfield Historic District; Downtown Chesterfield
Chesterfield,SC,Pageland,29728,2,Downtown Pageland; Pageland Historic District
Cleveland,NC,Boiling Springs,28017,3,Boiling Springs Historic District; Gardner-Webb University Area; South Main Area
Cleveland,NC,Kings Mountain,28086,4,Dixon School Road Area; Downtown Kings Mountain; Moss Lake Area; Mountain View
Cleveland,NC,Lawndale,28090,2,Downtown Lawndale; Lawndale Historic District
Cleveland,NC,Shelby,28150; 28152,5,Cleveland Country Club; East Shelby; Shelby Historic District; Uptown Shelby; West Shelby
Gaston,NC,Belmont,28012,1,Downtown Belmont
Gaston,NC,Cramerton,28032,0,
Gaston,NC,Gastonia,28052; 28054; 28056,1,Downtown Gastonia
Gaston,NC,Lowell,28098,0,
Gaston,NC,McAdenville,28101,0,
Gaston,NC,Mount Holly,28120,1,Downtown Mount Holly
Gaston,NC,Ranlo,28054,0,
Iredell,NC,Mooresville,28115; 28117,2,Downtown Mooresville; Morrison Plantation
Iredell,NC,Statesville,28625; 28677; 28687,1,Downtown Statesville
Iredell,NC,Troutman,28166,0,
Lancaster,SC,Indian Land,29707,2,Massey; Sun City
Lancaster,SC,Lancaster,29720,1,Downtown Lancaster
Lincoln,NC,Denver,28037,0,
Lincoln,NC,Lincolnton,28092,0,
McDowell,NC,Marion,28752,4,Downtown Marion; Historic Main Street; Lake James Area; Pleasant Gardens
McDowell,NC,Old Fort,28762,3,Downtown Old Fort; Gateway Trails Area; Old Fort Historic District
Mecklenburg,NC,Ballantyne,28277,2,Ballantyne Village; Piper Glen
Mecklenburg,NC,Cornelius,28031,2,Antiquity; Bailey's Glen
Mecklenburg,NC,Davidson,28035; 28036,2,Downtown Davidson; River Run
Mecklenburg,NC,Huntersville,28078,3,Birkdale; Northcross; Rosedale
Mecklenburg,NC,Matthews,28104; 28105,1,McKee Glen
Mecklenburg,NC,Mint Hill,28227,1,Clear Creek
Mecklenburg,NC,Northlake,28216,1,Northlake Mall Area
Mecklenburg,NC,Pineville,28134,1,Park Crossing
Mecklenburg,NC,University City,28213; 28262,2,UNCC Area; University Research Park
Mecklenburg,NC,Uptown,28202; 28203,2,Dilworth; South End
Rowan,NC,China Grove,28023,0,
Rowan,NC,Salisbury,28144; 28146; 28147,1,Downtown Salisbury
Stanly,NC,Albemarle,28001; 28002,1,Downtown Albemarle
Stanly,NC,Locust,28097,0,
Union,NC,Indian Trail,28079,2,Hemby Bridge; Sun Valley
Union,NC,Marvin,28173,0,
Union,NC,Monroe,28110; 28112,1,Downtown Monroe
Union,NC,Stallings,28104,0,
Union,NC,Waxhaw,28173,2,Cureton; Downtown Waxhaw
Union,NC,Weddington,28104,2,Bromley; Weddington Chase
Union,NC,Wesley Chapel,28104,0,
York,SC,Clover,29710,1,Downtown Clover
York,SC,Fort Mill,29715; 29708,2,Baxter; Kingsley
York,SC,Lake Wylie,29710,0,
York,SC,Rock Hill,29730; 29732; 29733,3,Downtown Rock Hill; Manchester Village; Riverwalk
York,SC,Tega Cay,29708,0,
York,SC,York,29745,0,
